"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 19:18:08","TRUE","55","0","-1","Food","Gujarat","India",FALSE
"2","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 19:12:59","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"3","RT @s_odisha: ME AND MY DHOKLA

Trying Other States Recipe Gives  Me Happiness Specially When It is Demanded By Your Loving Follow","2018-07-28 18:46:42","TRUE","3","0","2","Food","Gujarat","India",FALSE
"4","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 18:45:47","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"5","Monsoon is the time to plant them. Paddy.  paddy rural life village outbacks cultivation farmer paddy  ","2018-07-28 18:36:23","FALSE","0","0","0","Food","Gujarat","India",FALSE
"6","RT @s_odisha: ME AND MY DHOKLA

Trying Other States Recipe Gives  Me Happiness Specially When It is Demanded By Your Loving Follow","2018-07-28 18:12:17","TRUE","3","0","2","Food","Gujarat","India",TRUE
"7","RT @s_odisha: ME AND MY DHOKLA

Trying Other States Recipe Gives  Me Happiness Specially When It is Demanded By Your Loving Follow","2018-07-28 18:10:57","TRUE","3","0","2","Food","Gujarat","India",TRUE
"8","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 18:10:06","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"9","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 18:04:30","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"10","ME AND MY DHOKLA

Trying Other States Recipe Gives  Me Happiness Specially When It is Demanded By Your Lov  ","2018-07-28 18:02:48","FALSE","3","1","1","Food","Gujarat","India",FALSE
"11","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 18:02:31","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"12","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:58:55","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"13","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:53:08","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"14","@rockyandmayur Chung Fa ( only for food, terrible decor)
Peshawari 
Parallel 22
Azure
Old School has a multi-cuisin  ","2018-07-28 17:39:00","FALSE","0","1","-1","Food","Gujarat","India",FALSE
"15","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:33:53","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"16","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:33:22","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"17","RT @CSEINDIA: CSE tested 64 processed food products bought from retail stores in Delhi-NCR, Punjab and Gujarat and one sample of crude cott","2018-07-28 17:32:43","TRUE","10","0","-1","Food","Gujarat","India",FALSE
"18","@AMCAhmedabad Thank you so much to Ahmadabad Municipal Corporation for taking action against unhygienic food hawker  ","2018-07-28 17:32:20","FALSE","0","0","1","Food","Gujarat","India",FALSE
"19","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:28:04","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"20","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:20:40","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"21","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:10:46","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"22","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 17:07:49","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"23","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:53:53","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"24","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:53:35","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"25","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:42:01","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"26","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:32:57","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"27","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:27:07","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"28","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:25:29","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"29","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:25:00","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"30","RT @abpnewshindi:      ''  ,  

 ","2018-07-28 16:22:45","TRUE","23","0","0","Food","Gujarat","India",FALSE
"31","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:20:40","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"32","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:14:53","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"33","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:14:15","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"34","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:08:14","TRUE","55","0","-1","Food","Gujarat","India",TRUE
"35","RT @ANI: Sale of Golgappa has been banned in Vadodara till the time monsoon ends. VMC official says, 'many cases of diarrhoea &amp; vomiting ha","2018-07-28 16:08:11","TRUE","55","0","-1","Food","Gujarat","India",TRUE
