"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","MT:       ","2018-07-29 06:00:10","FALSE","0","0","-1","Transportation","Maharashtra","India",FALSE
"2","RT @zee24taasnews:      
 ","2018-07-29 05:32:29","TRUE","1","0","-1","Transportation","Maharashtra","India",FALSE
"3","     
 ","2018-07-29 05:28:55","FALSE","1","13","-1","Transportation","Maharashtra","India",FALSE
"4","Here's what's happening:

- SRK approves of the Assam Polices new traffic initiative
- California wildfire continu  ","2018-07-29 04:46:35","FALSE","0","2","0","Transportation","Maharashtra","India",FALSE
"5","@CMOMaharashtra @Dev_Fadnavis cm saheb maharashtra police ani RTO yana auto warti karvahi diste ani nagpur che star  ","2018-07-28 18:56:01","FALSE","0","0","-1","Transportation","Maharashtra","India",FALSE
"6","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-28 17:24:59","TRUE","13","0","3","Transportation","Maharashtra","India",FALSE
"7","@PuneCityPolice This AKURDI Chowk (Khandoba Chowk) has become the center of traffic jam. The red signal of each sid  ","2018-07-28 17:12:12","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"8","RT @iitian_kshitij: Airstrip is v small part of Airport &amp; cost nothing comparison to entre airport land &amp; infrastructure. But will create J","2018-07-28 11:41:48","TRUE","1","0","1","Transportation","Maharashtra","India",FALSE
"9","Airstrip is v small part of Airport &amp; cost nothing comparison to entre airport land &amp; infrastructure. But will crea  ","2018-07-28 11:17:10","FALSE","1","0","0","Transportation","Maharashtra","India",FALSE
"10","Heavy traffic on roads after strike over of transport association in Maharashtra","2018-07-28 08:37:26","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"11","MT:       ","2018-07-28 04:54:19","FALSE","0","0","1","Transportation","Maharashtra","India",TRUE
"12","RT @FinancialXpress: MarathaKrantiMorcha rally in Mumbai Live Updates: Protest march begins    ","2018-07-28 00:41:46","TRUE","10","0","-2","Transportation","Maharashtra","India",FALSE
"13","RT @FinancialXpress: MarathaKrantiMorcha rally in Mumbai Live Updates: Protest march begins    ","2018-07-27 23:55:55","TRUE","10","0","1","Transportation","Maharashtra","India",TRUE
"14","RT @rvgaiyyar: *UNAFFORDABLE HOUSING - DELIBERATE PRICE RISE
MUMBAIKAR FORCED/PACKED BEYOND KALYAN
*ROADS POT-HOLES
*TRAFFIC JAMS ALL OVER","2018-07-27 19:41:52","TRUE","1","0","0","Transportation","Maharashtra","India",FALSE
"15","RT @FinancialXpress: MarathaKrantiMorcha rally in Mumbai Live Updates: Protest march begins    ","2018-07-27 19:41:40","TRUE","10","0","1","Transportation","Maharashtra","India",TRUE
"16","*UNAFFORDABLE HOUSING - DELIBERATE PRICE RISE
MUMBAIKAR FORCED/PACKED BEYOND KALYAN
*ROADS POT-HOLES
*TRAFFIC JAMS  ","2018-07-27 18:57:24","FALSE","1","0","1","Transportation","Maharashtra","India",FALSE
"17","Pathetic to see messed up traffic at Karve putla chowk where people dont follow signals, people turning right from  ","2018-07-27 15:47:45","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"18","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-27 09:30:38","TRUE","47","0","1","Transportation","Maharashtra","India",FALSE
"19","@punkuzz I faced road rage similarly in rural Maharashtra. kept the doors n windows locked. Luckily the traffic cleared and I drove away.","2018-07-27 07:48:47","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"20","RT @trafficngp: Today 26 July, we created Green Corridor for urgent transport of donated organs from Mayo Hospital to three hospitals in ve","2018-07-27 06:59:35","TRUE","36","0","0","Transportation","Maharashtra","India",FALSE
"21","@Rajputanawachan @vikash6968 @AamAadmiParty @ArvindKejriwal Bhai me Maharashtra se hu, aur yaha sab badhiya chal ra  ","2018-07-26 17:15:33","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"22","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-26 11:54:45","TRUE","9","0","1","Transportation","Maharashtra","India",FALSE
"23","RT @suyash3010: @Google maps on my phone at 1 am : Light Traffic in your area, travel to WORK from HOME in 20 mins Pune Hinjewadi Sacred","2018-07-26 08:38:07","TRUE","4","0","0","Transportation","Maharashtra","India",FALSE
"24","Maharashtra Bandh: Sion-Panvel highway cleared for traffic as Maratha groups call off shutdown - Firstpost  ","2018-07-26 08:30:35","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"25","Maharashtra is burning, road traffic are blocked due to fire,. Do something Mr. CM BurningMaharashtra  ","2018-07-26 07:45:01","FALSE","0","1","0","Transportation","Maharashtra","India",FALSE
"26","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:38:52","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"27","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:34:11","FALSE","0","0","1","Transportation","Maharashtra","India",TRUE
"28","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:33:52","FALSE","0","0","1","Transportation","Maharashtra","India",TRUE
"29","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:26:32","FALSE","0","0","1","Transportation","Maharashtra","India",TRUE
"30","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:25:53","FALSE","0","0","1","Transportation","Maharashtra","India",TRUE
"31","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:15:12","FALSE","0","0","1","Transportation","Maharashtra","India",TRUE
"32","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:14:52","FALSE","0","0","0","Transportation","Maharashtra","India",TRUE
"33","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:10:52","FALSE","0","1","0","Transportation","Maharashtra","India",TRUE
"34","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 07:06:52","FALSE","0","0","0","Transportation","Maharashtra","India",TRUE
"35","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends serv  ","2018-07-26 06:48:30","FALSE","0","0","0","Transportation","Maharashtra","India",TRUE
"36","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-26 06:26:24","TRUE","13","0","1","Transportation","Maharashtra","India",TRUE
"37","RT @suyash3010: @Google maps on my phone at 1 am : Light Traffic in your area, travel to WORK from HOME in 20 mins Pune Hinjewadi Sacred","2018-07-26 05:52:12","TRUE","4","0","0","Transportation","Maharashtra","India",TRUE
"38","RT @suyash3010: @Google maps on my phone at 1 am : Light Traffic in your area, travel to WORK from HOME in 20 mins Pune Hinjewadi Sacred","2018-07-26 05:51:16","TRUE","4","0","-2","Transportation","Maharashtra","India",TRUE
"39","RT @suyash3010: @Google maps on my phone at 1 am : Light Traffic in your area, travel to WORK from HOME in 20 mins Pune Hinjewadi Sacred","2018-07-26 05:46:48","TRUE","4","0","0","Transportation","Maharashtra","India",TRUE
"40","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-26 05:42:34","TRUE","13","0","0","Transportation","Maharashtra","India",TRUE
"41","@Google maps on my phone at 1 am : Light Traffic in your area, travel to WORK from HOME in 20 mins Pune Hinjewadi  ","2018-07-26 05:10:02","FALSE","4","4","0","Transportation","Maharashtra","India",FALSE
"42","RT @hashnashik: Mumbai bandh today LIVE Updates: Traffic affected on Mumbai-Pune, Mumbai-Nashik highways as protest turns ... - Financial E","2018-07-26 03:54:52","TRUE","4","0","0","Transportation","Maharashtra","India",FALSE
"43","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-26 02:42:57","TRUE","13","0","0","Transportation","Maharashtra","India",TRUE
"44","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-26 02:16:20","TRUE","13","0","-1","Transportation","Maharashtra","India",TRUE
"45","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-26 02:13:30","TRUE","13","0","0","Transportation","Maharashtra","India",TRUE
"46","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-26 01:32:16","TRUE","13","0","0","Transportation","Maharashtra","India",TRUE
"47","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 22:15:03","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"48","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 19:16:45","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"49","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 19:06:08","TRUE","44","0","0","Transportation","Maharashtra","India",FALSE
"50","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 18:28:48","TRUE","44","0","0","Transportation","Maharashtra","India",TRUE
"51","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-25 18:20:50","TRUE","13","0","0","Transportation","Maharashtra","India",TRUE
"52","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-25 18:05:51","TRUE","13","0","1","Transportation","Maharashtra","India",TRUE
"53","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-25 17:59:24","TRUE","13","0","1","Transportation","Maharashtra","India",TRUE
"54","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-25 17:59:22","TRUE","13","0","1","Transportation","Maharashtra","India",TRUE
"55","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 17:57:19","TRUE","44","0","0","Transportation","Maharashtra","India",TRUE
"56","RT @aajtak:      '' SpecialReport 
  -  ","2018-07-25 17:56:39","TRUE","13","0","1","Transportation","Maharashtra","India",TRUE
"57","     '' SpecialReport 
  -  ","2018-07-25 17:56:16","FALSE","13","57","0","Transportation","Maharashtra","India",FALSE
"58","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 16:46:45","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"59","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 16:46:09","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"60","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 16:45:26","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"61","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 16:44:30","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"62","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 16:41:46","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"63","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 16:36:02","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"64"," :         -    ","2018-07-25 16:35:30","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"65","RT @IndiaToday: Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with @seemi_pas","2018-07-25 16:28:17","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"66","Maratha Quota Protest: Violent mobs blocked highways across Maharashtra, set vehicles ablaze
Watch InDepth with  ","2018-07-25 16:26:28","FALSE","9","10","0","Transportation","Maharashtra","India",FALSE
"67","RT @thot_2_action: Maratha Kranti Morcha protests_ Ensure one doesn't fall sick. Reaching any hospital is out of question. 

 ","2018-07-25 14:52:07","TRUE","7","0","0","Transportation","Maharashtra","India",FALSE
"68","@sureshpprabhu @MoCA_GoI Respected sir,I am asking when something credible work wl be done w.r.t to the constructio  ","2018-07-25 14:40:55","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"69","Maharashtra Bandh: Sion-Panvel highway cleared for traffic as Maratha groups call off shutdown  ","2018-07-25 14:28:20","FALSE","0","0","-2","Transportation","Maharashtra","India",FALSE
"70","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 13:54:39","TRUE","44","0","2","Transportation","Maharashtra","India",TRUE
"71","Maharashtra Bandh: Sion-Panvel highway cleared for traffic as Maratha groups call off shutdown  ","2018-07-25 13:32:44","FALSE","0","1","0","Transportation","Maharashtra","India",TRUE
"72","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 13:03:07","TRUE","44","0","0","Transportation","Maharashtra","India",TRUE
"73","RT @sripimaa69: Maratha Kranti Morcha protests LIVE: Agitators block key highways, shut shops in Mumbai as ...

 ","2018-07-25 12:41:50","TRUE","1","0","1","Transportation","Maharashtra","India",FALSE
"74","Maratha Kranti Morcha protests LIVE: Agitators block key highways, shut shops in Mumbai as ...  ","2018-07-25 12:32:00","FALSE","1","0","0","Transportation","Maharashtra","India",FALSE
"75","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 12:19:20","TRUE","47","0","1","Transportation","Maharashtra","India",TRUE
"76","Maharashtra Bandh LIVE: Commuters Face Harrowing Time as Protesters Block Eastern Express Highway :  ","2018-07-25 12:18:57","FALSE","0","3","0","Transportation","Maharashtra","India",FALSE
"77","RT @firstpost: Shops have been shut in Nashik district whereas schools and colleges are closed in Akola city in Maharashtra. Maharashtr","2018-07-25 12:14:55","TRUE","4","0","0","Transportation","Maharashtra","India",FALSE
"78","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 12:12:16","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"79","RT @dr_padhi: What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patels, karnata","2018-07-25 11:42:24","TRUE","3","0","0","Transportation","Maharashtra","India",FALSE
"80","RT @dr_padhi: What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patels, karnata","2018-07-25 11:29:07","TRUE","3","0","0","Transportation","Maharashtra","India",TRUE
"81","RT @firstpost: Shops have been shut in Nashik district whereas schools and colleges are closed in Akola city in Maharashtra. Maharashtr","2018-07-25 11:24:01","TRUE","4","0","0","Transportation","Maharashtra","India",TRUE
"82","RT @ZeeNews: MaharashtraBandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends services

 ","2018-07-25 11:20:23","TRUE","11","0","0","Transportation","Maharashtra","India",FALSE
"83","RT @MumbaiMirror: MarathaKrantiMorcha: Protesters try to block vehicular movement on Western Express Highway. Traffic reported near Boriva","2018-07-25 11:12:15","TRUE","21","0","0","Transportation","Maharashtra","India",FALSE
"84","RT @firstpost: Shops have been shut in Nashik district whereas schools and colleges are closed in Akola city in Maharashtra. Maharashtr","2018-07-25 11:11:32","TRUE","4","0","1","Transportation","Maharashtra","India",TRUE
"85","RT @thecheckernews: Maharashtra MaharashtraBandh MaharashtraBandhLIVEUpdates: Traffic is normal in MumbaiPuneHighway, PeacefulBandh ","2018-07-25 11:10:52","TRUE","6","0","0","Transportation","Maharashtra","India",FALSE
"86","RT @thecheckernews: Maharashtra MaharashtraBandh MaharashtraBandhLIVEUpdates: Traffic is normal in MumbaiPuneHighway, PeacefulBandh ","2018-07-25 11:03:23","TRUE","6","0","0","Transportation","Maharashtra","India",TRUE
"87","RT @thecheckernews: Maharashtra MaharashtraBandh MaharashtraBandhLIVEUpdates: Traffic is normal in MumbaiPuneHighway, PeacefulBandh ","2018-07-25 10:57:36","TRUE","6","0","1","Transportation","Maharashtra","India",TRUE
"88","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 10:50:34","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"89","Maharashtra Bandh: Train, traffic movement affected after protests turn violent; BEST buses partially su..  ","2018-07-25 10:47:47","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"90","RT @MumbaiMirror: MarathaKrantiMorcha: Traffic congestion in Thane relieved.
LIVE updates:  ","2018-07-25 10:45:07","TRUE","6","0","1","Transportation","Maharashtra","India",FALSE
"91","RT @MumbaiMirror: MarathaKrantiMorcha: Traffic congestion in Thane relieved.
LIVE updates:  ","2018-07-25 10:41:48","TRUE","6","0","0","Transportation","Maharashtra","India",TRUE
"92","RT @MumbaiMirror: MarathaKrantiMorcha: Traffic congestion in Thane relieved.
LIVE updates:  ","2018-07-25 10:38:33","TRUE","6","0","1","Transportation","Maharashtra","India",TRUE
"93","  LIVE:        ,     ","2018-07-25 10:36:28","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"94","RT @sumitakale: @sakaltimes @aparanjape MaTa has a better report - explains that the PMC lost the PIL in the High Court and why they need a","2018-07-25 10:11:44","TRUE","2","0","0","Transportation","Maharashtra","India",FALSE
"95","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 10:10:37","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"96","RT @NayidishaIndia: MumbaiBandh Everyone is talking about Mumbai coming to a standstill as Maharashtra outfits call for a bandh. Can we pl","2018-07-25 10:08:35","TRUE","1","0","0","Transportation","Maharashtra","India",FALSE
"97","RT @BhagwatPetkar: Retweeted NDTV (@ndtv):

Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 10:03:14","TRUE","1","0","0","Transportation","Maharashtra","India",FALSE
"98","MumbaiBandh Everyone is talking about Mumbai coming to a standstill as Maharashtra outfits call for a bandh. Can w  ","2018-07-25 10:03:10","FALSE","1","7","0","Transportation","Maharashtra","India",FALSE
"99","RT @pa_maruti: Maharashtra Bandh LIVE updates: Traffic back to normal on Mumbai-Pune highway, protestors appeal for peaceful bandh
 ","2018-07-25 09:59:55","TRUE","3","0","0","Transportation","Maharashtra","India",FALSE
"100","RT @pa_maruti: Maharashtra Bandh LIVE updates: Traffic back to normal on Mumbai-Pune highway, protestors appeal for peaceful bandh
 ","2018-07-25 09:50:58","TRUE","3","0","0","Transportation","Maharashtra","India",TRUE
"101","RT @MumbaiMirror: MarathaKrantiMorcha: Traffic congestion in Thane relieved.
LIVE updates:  ","2018-07-25 09:50:51","TRUE","6","0","0","Transportation","Maharashtra","India",TRUE
"102","RT @MumbaiMirror: MarathaKrantiMorcha: Traffic congestion in Thane relieved.
LIVE updates:  ","2018-07-25 09:50:29","TRUE","6","0","1","Transportation","Maharashtra","India",TRUE
"103","RT @MumbaiMirror: MarathaKrantiMorcha: Traffic congestion in Thane relieved.
LIVE updates:  ","2018-07-25 09:50:22","TRUE","6","0","-2","Transportation","Maharashtra","India",TRUE
"104","MarathaKrantiMorcha: Traffic congestion in Thane relieved.
LIVE updates:  ","2018-07-25 09:49:40","FALSE","6","6","0","Transportation","Maharashtra","India",FALSE
"105","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 09:49:04","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"106","RT @pa_maruti: Maharashtra Bandh LIVE updates: Traffic back to normal on Mumbai-Pune highway, protestors appeal for peaceful bandh
 ","2018-07-25 09:48:37","TRUE","3","0","0","Transportation","Maharashtra","India",TRUE
"107","RT @hashnashik: Mumbai bandh today LIVE Updates: Traffic affected on Mumbai-Pune, Mumbai-Nashik highways as protest turns ... - Financial E","2018-07-25 09:46:29","TRUE","4","0","-1","Transportation","Maharashtra","India",TRUE
"108","RT @MumbaiMirror: MarathaKrantiMorcha: Protesters try to block vehicular movement on Western Express Highway. Traffic reported near Boriva","2018-07-25 09:43:35","TRUE","21","0","0","Transportation","Maharashtra","India",TRUE
"109","RT @firstpost: Shops have been shut in Nashik district whereas schools and colleges are closed in Akola city in Maharashtra. Maharashtr","2018-07-25 09:42:53","TRUE","4","0","0","Transportation","Maharashtra","India",TRUE
"110","RT @MumbaiMirror: MarathaKrantiMorcha: Heavy traffic in Vashi as protestors block Mumbai-Pune highway.
LIVE updates:  ","2018-07-25 09:41:51","TRUE","9","0","-1","Transportation","Maharashtra","India",FALSE
"111","RT @hashnashik: Mumbai bandh today LIVE Updates: Traffic affected on Mumbai-Pune, Mumbai-Nashik highways as protest turns ... - Financial E","2018-07-25 09:41:43","TRUE","4","0","-1","Transportation","Maharashtra","India",TRUE
"112","RT @hashnashik: Mumbai bandh today LIVE Updates: Traffic affected on Mumbai-Pune, Mumbai-Nashik highways as protest turns ... - Financial E","2018-07-25 09:39:18","TRUE","4","0","0","Transportation","Maharashtra","India",TRUE
"113","RT @MumbaiMirror: MarathaKrantiMorcha: Heavy traffic in Vashi as protestors block Mumbai-Pune highway.
LIVE updates:  ","2018-07-25 09:38:41","TRUE","9","0","1","Transportation","Maharashtra","India",TRUE
"114","Retweeted NDTV (@ndtv):

Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 09:37:20","FALSE","1","1","1","Transportation","Maharashtra","India",FALSE
"115","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 09:37:09","TRUE","47","0","1","Transportation","Maharashtra","India",TRUE
"116","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 09:36:16","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"117","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 09:33:31","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"118","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 09:30:52","TRUE","44","0","0","Transportation","Maharashtra","India",TRUE
"119","RT @MumbaiMirror: MarathaKrantiMorcha: Protesters try to block vehicular movement on Western Express Highway. Traffic reported near Boriva","2018-07-25 09:29:55","TRUE","21","0","0","Transportation","Maharashtra","India",TRUE
"120","RT @MumbaiMirror: MarathaKrantiMorcha: Heavy traffic in Vashi as protestors block Mumbai-Pune highway.
LIVE updates:  ","2018-07-25 09:24:38","TRUE","9","0","1","Transportation","Maharashtra","India",TRUE
"121","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 09:23:07","TRUE","44","0","1","Transportation","Maharashtra","India",TRUE
"122","RT @iamjaisheel: Me to driver - Why is there standstill traffic on the WE Highway? Is there a Rasta Roko due to the Maharashtra Bandh cause","2018-07-25 09:21:55","TRUE","6","0","0","Transportation","Maharashtra","India",FALSE
"123","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 09:21:45","TRUE","44","0","0","Transportation","Maharashtra","India",TRUE
"124","RT @ndtv: Buses attacked, traffic blocked in parts of Mumbai amid bandh

Read here:  ","2018-07-25 09:19:43","TRUE","47","0","0","Transportation","Maharashtra","India",TRUE
"125","RT @MumbaiMirror: MarathaKrantiMorcha: Heavy traffic in Vashi as protestors block Mumbai-Pune highway.
LIVE updates:  ","2018-07-25 09:18:37","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"126","Maharashtra Bandh LIVE updates: Traffic back to normal on Mumbai-Pune highway, protestors appeal for peaceful ban  ","2018-07-25 09:18:27","FALSE","3","0","-2","Transportation","Maharashtra","India",FALSE
"127","RT @ZeeNews: MaharashtraBandh: Train, traffic movement affected after protests turn violent; BEST buses partially suspends services

 ","2018-07-25 09:17:35","TRUE","11","0","0","Transportation","Maharashtra","India",TRUE
"128","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 09:14:37","TRUE","44","0","1","Transportation","Maharashtra","India",TRUE
"129","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 09:13:13","TRUE","44","0","0","Transportation","Maharashtra","India",TRUE
"130","RT @MumbaiLiveNews: MumbaiBandh: Heavy traffic at Mulund flyover 

cc: @RidlrMUM @mumbaitraffic @mumbaicommunity @RoadsOfMumbai @smart_mu","2018-07-25 09:12:15","TRUE","44","0","0","Transportation","Maharashtra","India",TRUE
"131","RT @iamjaisheel: Me to driver - Why is there standstill traffic on the WE Highway? Is there a Rasta Roko due to the Maharashtra Bandh cause","2018-07-25 09:10:16","TRUE","6","0","-1","Transportation","Maharashtra","India",TRUE
"132","RT @iamjaisheel: Me to driver - Why is there standstill traffic on the WE Highway? Is there a Rasta Roko due to the Maharashtra Bandh cause","2018-07-25 09:06:15","TRUE","6","0","-2","Transportation","Maharashtra","India",TRUE
"133","RT @MumbaiMirror: MarathaKrantiMorcha: Heavy traffic in Vashi as protestors block Mumbai-Pune highway.
LIVE updates:  ","2018-07-25 09:05:29","TRUE","9","0","1","Transportation","Maharashtra","India",TRUE
"134","What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patel  ","2018-07-25 09:05:06","FALSE","3","3","0","Transportation","Maharashtra","India",FALSE
"135","RT @MumbaiMirror: MarathaKrantiMorcha: Heavy traffic in Vashi as protestors block Mumbai-Pune highway.
LIVE updates:  ","2018-07-25 09:02:51","TRUE","9","0","1","Transportation","Maharashtra","India",TRUE
"136","RT @iamjaisheel: Me to driver - Why is there standstill traffic on the WE Highway? Is there a Rasta Roko due to the Maharashtra Bandh cause","2018-07-25 08:55:33","TRUE","6","0","1","Transportation","Maharashtra","India",TRUE
"137","RT @thot_2_action: Maratha Kranti Morcha protests_ Ensure one doesn't fall sick. Reaching any hospital is out of question. 

 ","2018-07-25 08:55:26","TRUE","7","0","0","Transportation","Maharashtra","India",TRUE
"138","Mumbai bandh today LIVE Updates: Traffic affected on Mumbai-Pune, Mumbai-Nashik highways as protest turns ... - Fin  ","2018-07-25 08:55:23","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"139","MAHARASHTRA GOVT. FAILED TO CONTROL THE SITUATION. NO ACTION TO BE TAKEN. RAIL, ROAF TRAFFIC IS DISTURBED IN MUMBAI  ","2018-07-25 08:54:32","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"140","Mumbai bandh today LIVE Updates: Traffic affected on Mumbai-Pune, Mumbai-Nashik highways as protest turns ... - Fin  ","2018-07-25 08:54:24","FALSE","4","2","0","Transportation","Maharashtra","India",TRUE
