"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","-1","Transportation","West Bengal","India",FALSE
"2","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","-1","Transportation","West Bengal","India",FALSE
"3","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","-1","Transportation","West Bengal","India",FALSE
"4","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","0","Transportation","West Bengal","India",FALSE
"5","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","-1","Transportation","West Bengal","India",TRUE
"6","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","3","Transportation","West Bengal","India",FALSE
"7","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"8","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","1","Transportation","West Bengal","India",FALSE
"9","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"10","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","1","Transportation","West Bengal","India",FALSE
"11","Until next time (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-21 13:10:43","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"12","Opportunity to all the Aviation Job Seekers: Kolkata, West Bengal - Airport(Kolkata &amp; Delhi) Ground Staff For12th P  ","2018-07-21 05:39:39","FALSE","0","0","-2","Transportation","West Bengal","India",FALSE
"13","I'm at Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal  ","2018-07-20 12:28:21","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"14","AIRPORT job call 9540822449: Freelancer Dinesh Joshi - Kolkata, West Bengal - Job offer , for airlince AIRPORT Comp  ","2018-07-20 06:14:04","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"15","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","1","Transportation","West Bengal","India",TRUE
"16","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","1","Transportation","West Bengal","India",TRUE
"17","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"18","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","1","Transportation","West Bengal","India",TRUE
"19","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","1","Transportation","West Bengal","India",TRUE
"20","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"21","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"22","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","1","Transportation","West Bengal","India",TRUE
"23","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"24","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","1","Transportation","West Bengal","India",TRUE
"25","Until next time (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-21 13:10:43","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"26","Opportunity to all the Aviation Job Seekers: Kolkata, West Bengal - Airport(Kolkata &amp; Delhi) Ground Staff For12th P  ","2018-07-21 05:39:39","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"27","I'm at Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal  ","2018-07-20 12:28:21","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"28","AIRPORT job call 9540822449: Freelancer Dinesh Joshi - Kolkata, West Bengal - Job offer , for airlince AIRPORT Comp  ","2018-07-20 06:14:04","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"29","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","1","Transportation","West Bengal","India",TRUE
"30","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","1","Transportation","West Bengal","India",TRUE
"31","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","1","Transportation","West Bengal","India",TRUE
"32","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"33","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","0","Transportation","West Bengal","India",TRUE
"34","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"35","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"36","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","1","Transportation","West Bengal","India",TRUE
"37","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"38","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","-2","Transportation","West Bengal","India",TRUE
"39","Until next time (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-21 13:10:43","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"40","Opportunity to all the Aviation Job Seekers: Kolkata, West Bengal - Airport(Kolkata &amp; Delhi) Ground Staff For12th P  ","2018-07-21 05:39:39","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"41","I'm at Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal  ","2018-07-20 12:28:21","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"42","AIRPORT job call 9540822449: Freelancer Dinesh Joshi - Kolkata, West Bengal - Job offer , for airlince AIRPORT Comp  ","2018-07-20 06:14:04","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"43","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"44","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","-1","Transportation","West Bengal","India",TRUE
"45","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"46","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"47","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","0","Transportation","West Bengal","India",TRUE
"48","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"49","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"50","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","0","Transportation","West Bengal","India",TRUE
"51","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"52","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","1","Transportation","West Bengal","India",TRUE
"53","Until next time (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-21 13:10:43","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"54","Opportunity to all the Aviation Job Seekers: Kolkata, West Bengal - Airport(Kolkata &amp; Delhi) Ground Staff For12th P  ","2018-07-21 05:39:39","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"55","I'm at Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal  ","2018-07-20 12:28:21","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"56","AIRPORT job call 9540822449: Freelancer Dinesh Joshi - Kolkata, West Bengal - Job offer , for airlince AIRPORT Comp  ","2018-07-20 06:14:04","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"57","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"58","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"59","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"60","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"61","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","0","Transportation","West Bengal","India",TRUE
"62","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"63","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"64","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","0","Transportation","West Bengal","India",TRUE
"65","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"66","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","0","Transportation","West Bengal","India",TRUE
"67","Until next time (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-21 13:10:43","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"68","Opportunity to all the Aviation Job Seekers: Kolkata, West Bengal - Airport(Kolkata &amp; Delhi) Ground Staff For12th P  ","2018-07-21 05:39:39","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"69","I'm at Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal  ","2018-07-20 12:28:21","FALSE","0","0","-2","Transportation","West Bengal","India",TRUE
"70","AIRPORT job call 9540822449: Freelancer Dinesh Joshi - Kolkata, West Bengal - Job offer , for airlince AIRPORT Comp  ","2018-07-20 06:14:04","FALSE","0","0","2","Transportation","West Bengal","India",TRUE
"71","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"72","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"73","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","1","Transportation","West Bengal","India",TRUE
"74","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"75","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","1","Transportation","West Bengal","India",TRUE
"76","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"77","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"78","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","0","Transportation","West Bengal","India",TRUE
"79","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"80","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","0","Transportation","West Bengal","India",TRUE
"81","Until next time (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-21 13:10:43","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"82","Opportunity to all the Aviation Job Seekers: Kolkata, West Bengal - Airport(Kolkata &amp; Delhi) Ground Staff For12th P  ","2018-07-21 05:39:39","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"83","I'm at Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal  ","2018-07-20 12:28:21","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"84","AIRPORT job call 9540822449: Freelancer Dinesh Joshi - Kolkata, West Bengal - Job offer , for airlince AIRPORT Comp  ","2018-07-20 06:14:04","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"85","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"86","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"87","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","1","Transportation","West Bengal","India",TRUE
"88","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"89","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","1","Transportation","West Bengal","India",TRUE
"90","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","1","Transportation","West Bengal","India",TRUE
"91","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"92","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","1","Transportation","West Bengal","India",TRUE
"93","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"94","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","0","Transportation","West Bengal","India",TRUE
"95","Until next time (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-21 13:10:43","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"96","Opportunity to all the Aviation Job Seekers: Kolkata, West Bengal - Airport(Kolkata &amp; Delhi) Ground Staff For12th P  ","2018-07-21 05:39:39","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"97","I'm at Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal  ","2018-07-20 12:28:21","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"98","AIRPORT job call 9540822449: Freelancer Dinesh Joshi - Kolkata, West Bengal - Job offer , for airlince AIRPORT Comp  ","2018-07-20 06:14:04","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"99","RT @PBala20: Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata West Bengal @D","2018-07-28 12:03:57","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"100","RT @PBala20: Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kol","2018-07-28 12:03:54","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"101","Today I received our Popular Leader Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westi  ","2018-07-27 18:03:14","FALSE","1","4","0","Transportation","West Bengal","India",TRUE
"102","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:59:58","FALSE","1","4","1","Transportation","West Bengal","India",TRUE
"103","Today I received Dr Udit Raj ji in Kolkata Airport for tomorrow's International Seminar at Westin Hotel Kolkata Wes  ","2018-07-27 17:56:17","FALSE","0","4","-2","Transportation","West Bengal","India",TRUE
"104","What an unwanted news : ""West Bengal to become Bangla"" then probably we can also add ""desh"" I suppose? Playing with  ","2018-07-26 09:19:22","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"105","Manager Training in Kolkata, West Bengal, India: catering, airport, nutrition, marine, shah, patna  ","2018-07-23 20:41:51","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"106","RT @GKforKPSC: Major Sea Ports- Location
1.Kandla Port- Gujarat
2.Nhava Sheva Port- Maharashtra
3.Marmugao Port- Goa
4.Mangalore Port- Karn","2018-07-23 07:23:15","TRUE","45","0","0","Transportation","West Bengal","India",TRUE
"107","travelling to Bagdogra, West Bengal, India from Netaji Subhash Chandra Bose International Airport  ","2018-07-22 10:39:32","FALSE","0","0","-1","Transportation","West Bengal","India",TRUE
"108","Vacation Begins (@ Netaji Subhash Chandra Bose International Airport (CCU) in Kolkata, West Bengal)  ","2018-07-22 07:03:23","FALSE","0","1","0","Transportation","West Bengal","India",TRUE
