"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 19:53:17","TRUE","4","0","-1","Food","Uttar Pradesh","India",FALSE
"2","     10           
  &gt;&gt;  ","2018-07-26 07:18:33","FALSE","0","0","-1","Food","Uttar Pradesh","India",FALSE
"3","     10           
  &gt;&gt;  ","2018-07-26 07:03:55","FALSE","0","0","-1","Food","Uttar Pradesh","India",TRUE
"4","     10           
  &gt;&gt;  ","2018-07-26 06:18:44","FALSE","0","0","0","Food","Uttar Pradesh","India",TRUE
"5","     10           
  &gt;&gt;  ","2018-07-26 06:18:41","FALSE","0","9","-1","Food","Uttar Pradesh","India",TRUE
"6","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 04:41:32","TRUE","4","0","3","Food","Uttar Pradesh","India",TRUE
"7","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 03:33:35","TRUE","4","0","1","Food","Uttar Pradesh","India",TRUE
"8","     10           
@Uppolice
 ","2018-07-26 03:28:21","FALSE","4","16","1","Food","Uttar Pradesh","India",FALSE
"9","RT @News18UP:      10           
 ","2018-07-25 16:54:17","TRUE","2","0","0","Food","Uttar Pradesh","India",FALSE
"10","     10           
 ","2018-07-25 16:51:11","FALSE","2","13","1","Food","Uttar Pradesh","India",FALSE
"11","I'm at 11 Flowers Garden AC Veg Restaurant in Mat, Uttar Pradesh  ","2018-07-20 12:36:15","FALSE","0","0","1","Food","Uttar Pradesh","India",FALSE
"12","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 19:53:17","TRUE","4","0","-2","Food","Uttar Pradesh","India",TRUE
"13","     10           
  &gt;&gt;  ","2018-07-26 07:18:33","FALSE","0","0","1","Food","Uttar Pradesh","India",TRUE
"14","     10           
  &gt;&gt;  ","2018-07-26 07:03:55","FALSE","0","0","0","Food","Uttar Pradesh","India",TRUE
"15","     10           
  &gt;&gt;  ","2018-07-26 06:18:44","FALSE","0","0","1","Food","Uttar Pradesh","India",TRUE
"16","     10           
  &gt;&gt;  ","2018-07-26 06:18:41","FALSE","0","9","1","Food","Uttar Pradesh","India",TRUE
"17","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 04:41:32","TRUE","4","0","0","Food","Uttar Pradesh","India",TRUE
"18","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 03:33:35","TRUE","4","0","1","Food","Uttar Pradesh","India",TRUE
"19","     10           
@Uppolice
 ","2018-07-26 03:28:21","FALSE","4","16","1","Food","Uttar Pradesh","India",TRUE
"20","RT @News18UP:      10           
 ","2018-07-25 16:54:17","TRUE","2","0","0","Food","Uttar Pradesh","India",TRUE
"21","     10           
 ","2018-07-25 16:51:11","FALSE","2","13","0","Food","Uttar Pradesh","India",TRUE
"22","I'm at 11 Flowers Garden AC Veg Restaurant in Mat, Uttar Pradesh  ","2018-07-20 12:36:15","FALSE","0","0","1","Food","Uttar Pradesh","India",TRUE
"23","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 19:53:17","TRUE","4","0","0","Food","Uttar Pradesh","India",TRUE
"24","     10           
  &gt;&gt;  ","2018-07-26 07:18:33","FALSE","0","0","1","Food","Uttar Pradesh","India",TRUE
"25","     10           
  &gt;&gt;  ","2018-07-26 07:03:55","FALSE","0","0","0","Food","Uttar Pradesh","India",TRUE
"26","     10           
  &gt;&gt;  ","2018-07-26 06:18:44","FALSE","0","0","0","Food","Uttar Pradesh","India",TRUE
"27","     10           
  &gt;&gt;  ","2018-07-26 06:18:41","FALSE","0","9","1","Food","Uttar Pradesh","India",TRUE
"28","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 04:41:32","TRUE","4","0","1","Food","Uttar Pradesh","India",TRUE
"29","RT @News18UP:      10           
@Uppolice
 ","2018-07-26 03:33:35","TRUE","4","0","1","Food","Uttar Pradesh","India",TRUE
