"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@narendramodi Sir please focus on railway examiners center problem centers are very far away our home state / I am  ","2018-07-28 18:11:32","FALSE","0","1","-1","Employment","Bihar","India",FALSE
"2","@UNICEF poor people but they do  not give job in a mass level lf 100 company establish in bihar than bihari will","2018-07-28 17:54:37","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"3","@UNICEF many NGOs work in bihar no any factory work in bihar for job creation .i thing all bihar has 10000 NGO are working for helping","2018-07-28 17:54:21","FALSE","0","0","3","Employment","Bihar","India",FALSE
"4","India

In state Bihar, Rape on 34 Small girls

shocking
BJP___

BJP Totally Failed to Protect Women &amp;  ","2018-07-28 17:40:25","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"5","RT @paduaboy57: @jeevakishore5 @RajRay026 @nomorehindi @sarang_bmohan @saileenas @South_Indians @GargaC @BanglaPokkho @ANNZnDIPZ @Truth_of_","2018-07-28 17:11:01","TRUE","1","0","0","Employment","Bihar","India",FALSE
"6","@jeevakishore5 @RajRay026 @nomorehindi @sarang_bmohan @saileenas @South_Indians @GargaC @BanglaPokkho @ANNZnDIPZ  ","2018-07-28 16:59:26","FALSE","1","1","0","Employment","Bihar","India",FALSE
"7","RT @AJEETPA31874143: @Narendramodi_PM  Respected PM  sir you wellcome in U.P.,  U.P. govt  se jra unk rojgar k bare m bhi baat kr lijiyega","2018-07-28 16:23:53","TRUE","7","0","0","Employment","Bihar","India",FALSE
"8","RT @Abhishe68955650: @RailMinIndia Please return or Rs 500 we don't want job with this cheated mentality govt. I am from a village of Bihar","2018-07-28 16:05:19","TRUE","1","0","-1","Employment","Bihar","India",FALSE
"9","@RailMinIndia Please return or Rs 500 we don't want job with this cheated mentality govt. I am from a village of Bi  ","2018-07-28 15:54:11","FALSE","1","6","-1","Employment","Bihar","India",FALSE
"10","RT @AJEETPA31874143: @Narendramodi_PM  Respected PM  sir you wellcome in U.P.,  U.P. govt  se jra unk rojgar k bare m bhi baat kr lijiyega","2018-07-28 15:48:08","TRUE","7","0","0","Employment","Bihar","India",TRUE
"11","sonakshisinha .please help me .I live in Bihar I want to do job in the film industries 9546184238","2018-07-28 15:42:51","FALSE","0","0","0","Employment","Bihar","India",FALSE
"12","@NitishKumar @SushilModi @yadavtejashwi @TejYadav14 @irvpaswan @ichiragpaswan 
2/2 Bihar ke sab neta ne milkar educ  ","2018-07-28 14:46:39","FALSE","0","0","0","Employment","Bihar","India",FALSE
"13","@NitishKumar @SushilModi @yadavtejashwi @TejYadav14 @irvpaswan @ichiragpaswan 
Bihar ke logo ko study karna ho to d  ","2018-07-28 14:37:00","FALSE","0","0","0","Employment","Bihar","India",FALSE
"14","@GoyalsRail  Respected Railway Minister, what is your job that you have given 5000 rupees to the rate of paying 500  ","2018-07-28 13:59:55","FALSE","0","0","0","Employment","Bihar","India",FALSE
"15","@ichiragpaswan 
Railway ka exam itna door chala gaya .aap is pe kuch boal ni rahe hain .aap ni chahte hain ki bihar  ","2018-07-28 13:40:33","FALSE","0","0","0","Employment","Bihar","India",FALSE
"16","RT @mesatyamforyou: from Bihar and exam centre telangana good job railway  ","2018-07-28 13:30:20","TRUE","3","0","1","Employment","Bihar","India",FALSE
"17","RT @mesatyamforyou: from Bihar and exam centre telangana good job railway  ","2018-07-28 13:19:08","TRUE","3","0","1","Employment","Bihar","India",TRUE
"18","RT @AJEETPA31874143: @Narendramodi_PM  Respected PM  sir you wellcome in U.P.,  U.P. govt  se jra unk rojgar k bare m bhi baat kr lijiyega","2018-07-28 12:08:37","TRUE","7","0","0","Employment","Bihar","India",TRUE
"19","@iamnarendranath You were one of the first to break this news. Good Job.
But why no one picked this up earlier?!!!!!! JungleRaj Bihar","2018-07-28 12:00:36","FALSE","0","0","0","Employment","Bihar","India",FALSE
"20","@Bihar_BJP Because you guys are also not doing enough to change state and life of common citizens. Your top most le  ","2018-07-28 11:28:57","FALSE","0","0","2","Employment","Bihar","India",FALSE
"21","RT @FollowCII: How CII-MCC training helped him in getting a job at a Multinational  Company shares this jobseeker from Bihar. CII4Skills","2018-07-28 11:05:05","TRUE","2","0","1","Employment","Bihar","India",FALSE
"22","@ippatel Raj Thackrey is also a bakcho*. His goons can only beat up poor UP &amp; Bihar railway job aspirants and auto/  ","2018-07-28 09:04:56","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"23","RT @alokrsrivastav: @CecilSah @INCIndia @RahulGandhi @_SoniaGandhi @shaktisinhgohil @SoniaGOfficial Great job done. Keep it up! This is a m","2018-07-28 08:50:06","TRUE","1","0","1","Employment","Bihar","India",FALSE
"24","@CecilSah @INCIndia @RahulGandhi @_SoniaGandhi @shaktisinhgohil @SoniaGOfficial Great job done. Keep it up! This is  ","2018-07-28 08:43:59","FALSE","1","1","1","Employment","Bihar","India",FALSE
"25","Arrah Jobs - Randstad India - Field Supervisor -  ","2018-07-28 08:22:29","FALSE","0","0","0","Employment","Bihar","India",FALSE
"26","Patna Jobs - Citizens Foundation - Senior Program Coordinator -  ","2018-07-28 08:02:11","FALSE","0","0","0","Employment","Bihar","India",FALSE
"27","Bhagalpur Jobs - ICA Edu Skills - Franchisee Support Manager -  ","2018-07-28 07:57:08","FALSE","0","0","1","Employment","Bihar","India",FALSE
"28","@sanjaynirupam @JhaSanjay Marathi jag jao. Khangress do bihari ko Mumbai kongressi sambhalne ko rakha job ki Bihar mihari 0 hai","2018-07-28 07:35:50","FALSE","0","0","0","Employment","Bihar","India",FALSE
"29","RT @AJEETPA31874143: @Narendramodi_PM  Respected PM  sir you wellcome in U.P.,  U.P. govt  se jra unk rojgar k bare m bhi baat kr lijiyega","2018-07-28 07:16:20","TRUE","7","0","0","Employment","Bihar","India",TRUE
"30","Bihar Jobs - Indiyaa Distribution - ZSM, ASM, SO -  ","2018-07-28 06:47:16","FALSE","0","0","0","Employment","Bihar","India",FALSE
"31","Cameraman ki job ke liye call kare
7543949343
News bihar","2018-07-28 06:03:23","FALSE","0","0","0","Employment","Bihar","India",FALSE
"32","RT @mesatyamforyou: from Bihar and exam centre telangana good job railway  ","2018-07-28 04:38:43","TRUE","3","0","1","Employment","Bihar","India",TRUE
"33","@PiyushgHindi @RailMinIndia sir  we are seeking government job, toiling day and night and the railway ministry has  ","2018-07-28 04:23:01","FALSE","0","0","0","Employment","Bihar","India",FALSE
"34","RT @India_Policy: Tide has turned so much that People in South India, even those who migrated from UP/Bihar taunt UP for not even being abl","2018-07-27 17:37:56","TRUE","43","0","-1","Employment","Bihar","India",FALSE
"35","RT @AJEETPA31874143: @Narendramodi_PM  Respected PM  sir you wellcome in U.P.,  U.P. govt  se jra unk rojgar k bare m bhi baat kr lijiyega","2018-07-27 17:23:01","TRUE","7","0","0","Employment","Bihar","India",TRUE
"36","RT @AJEETPA31874143: @Narendramodi_PM  Respected PM  sir you wellcome in U.P.,  U.P. govt  se jra unk rojgar k bare m bhi baat kr lijiyega","2018-07-27 16:58:59","TRUE","7","0","0","Employment","Bihar","India",TRUE
"37","@Narendramodi_PM  Respected PM  sir you wellcome in U.P.,  U.P. govt  se jra unk rojgar k bare m bhi baat kr lijiye  ","2018-07-27 16:36:32","FALSE","7","7","0","Employment","Bihar","India",FALSE
"38","@ManishKJha1908 @yadavtejashwi Pata nahi kab Bihar k log or neta crime se dur honge k koi co Bihar aye invest kare  ","2018-07-27 14:46:20","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"39","@SushilModi Kavi Bihar me Job ke bare me v share kijye... Last 15 year me BSSC me kitni selection final hui hai ?..  ","2018-07-27 14:05:27","FALSE","0","1","0","Employment","Bihar","India",FALSE
"40","""Newsprint is endangered. Retail has fled to the net. Cash is becoming quaint. Yet Ram Badan Singh, who left a job  ","2018-07-27 13:48:04","FALSE","0","0","1","Employment","Bihar","India",FALSE
"41","@PiyushGoyal Respect sir
I am belongs to bihar but currently job in Kolkata. My Alp exam centre is Bhopal, which is  ","2018-07-27 13:27:44","FALSE","0","0","1","Employment","Bihar","India",FALSE
"42","RT @jprcindia: The highest concentration of multidimensionally poor (MDP) people in India is to be found in three states: Bihar (the po","2018-07-27 11:14:11","TRUE","6","0","-1","Employment","Bihar","India",FALSE
"43","@Samsung_IN I vide request no 4265437459 , requested for repairing my nonfunctional washing machine, phone no 76775  ","2018-07-27 09:41:38","FALSE","0","0","0","Employment","Bihar","India",FALSE
"44","@Samsung I am waiting for repair of my washing machine purchased in 2016, request no is 4265437459. Kindly ask your  ","2018-07-27 09:32:13","FALSE","0","0","1","Employment","Bihar","India",FALSE
"45","@News18Bihar Job of Daroga(SI)in Bihar is synonyms with corruption,very few exceptions.Radical change in policing i  ","2018-07-27 07:39:27","FALSE","0","0","0","Employment","Bihar","India",FALSE
"46","[Job] OPERATIONS MANAGER | Company: railrestro | Location: Patna BR Bihar India | Patna Operations Research  ","2018-07-27 07:03:04","FALSE","0","0","0","Employment","Bihar","India",FALSE
"47","@cmnitishkm 
Bihar ki Halat Thik karne ke liye aap logo ko  ","2018-07-27 06:55:07","FALSE","0","0","0","Employment","Bihar","India",FALSE
"48","Tie them on a road. Put syrup on them. Throw fire ants to finish the job.   ","2018-07-27 06:45:45","FALSE","0","1","0","Employment","Bihar","India",FALSE
"49","RT @narendramodi: Khushboo from Bihar says that a job in the BPO has given her stability and boosted her self-confidence. Happy to hear her","2018-07-27 05:24:31","TRUE","1709","0","2","Employment","Bihar","India",FALSE
"50","Area Manager  ","2018-07-27 04:04:51","FALSE","0","0","0","Employment","Bihar","India",FALSE
"51","Area Manager -  ","2018-07-27 04:04:50","FALSE","0","0","0","Employment","Bihar","India",FALSE
"52","RT @jiten2612: @rishibagree @harry_reddy5 He is creating drama n fooling poor bihari to gain sympathy by doing cheap publicity. What they d","2018-07-27 03:20:58","TRUE","1","0","-1","Employment","Bihar","India",FALSE
"53","@NitishKumar ...appreciable arrangements from Sultanganj to Dumma..for Sarwani mela( )
well planned arra  ","2018-07-27 03:14:26","FALSE","0","0","2","Employment","Bihar","India",FALSE
"54","@rishibagree @harry_reddy5 He is creating drama n fooling poor bihari to gain sympathy by doing cheap publicity. Wh  ","2018-07-27 03:11:03","FALSE","1","1","-1","Employment","Bihar","India",FALSE
"55","@ChiefMinisterUP @UPPCL @PMOIndia  UP aur BIHAR me log sarkari job isiliye karna chahte hai taki zindagi aaram se k  ","2018-07-26 18:52:26","FALSE","0","0","0","Employment","Bihar","India",FALSE
"56","from Bihar and exam centre telangana good job railway  ","2018-07-26 16:48:33","FALSE","3","4","1","Employment","Bihar","India",FALSE
"57","@AnkitLal @ArvindKejriwal Good job..
You are to become an inspiration to other non-working lazy CM's of other state  ","2018-07-26 16:35:13","FALSE","0","1","1","Employment","Bihar","India",FALSE
"58","@RajatSharmaLive @indiatvnews 10 crore job vyapam scam katni scam narmada yatra scam gorakpur hospital children dea  ","2018-07-26 15:29:45","FALSE","0","2","-3","Employment","Bihar","India",FALSE
"59","@sardesairajdeep @DuniyaTak Y ur even talking with hatemonger and potential rioter rohit sardana ,who is instigatin  ","2018-07-26 15:12:26","FALSE","0","0","0","Employment","Bihar","India",FALSE
"60","ShelterHomeRapes Bihar police on job ,raping shelter girls","2018-07-26 14:58:28","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"61","RT @rajsinghreigns: @PiyushGoyal  sir we are poor students from  Bihar and our exam centre is in south states in India 2000+km from bihar","2018-07-26 14:52:16","TRUE","1","0","-1","Employment","Bihar","India",FALSE
"62","@PiyushGoyal  sir we are poor students from  Bihar and our exam centre is in south states in India 2000+km from bi  ","2018-07-26 14:51:46","FALSE","1","0","-1","Employment","Bihar","India",FALSE
"63","RT @prakashSriv:            -          ","2018-07-26 13:55:07","TRUE","11","0","0","Employment","Bihar","India",FALSE
"64","Bihar Jobs - Varun Beverages - Customer Executive -  ","2018-07-26 11:27:10","FALSE","0","0","0","Employment","Bihar","India",FALSE
"65","Bihar Jobs - India Transact Services - Area Sales Officer -  ","2018-07-26 11:17:15","FALSE","0","0","0","Employment","Bihar","India",FALSE
"66","Good job sir...
Bihar state ALP students ka center out of BIHAR dala jis se 
Cheating kam ho...
Thanks sir..","2018-07-26 11:09:27","FALSE","0","0","0","Employment","Bihar","India",FALSE
"67","Patna Jobs - Kamdhenu Laminators - Residential Sales Officer -  ","2018-07-26 11:07:41","FALSE","0","0","0","Employment","Bihar","India",FALSE
"68","Patna Jobs - Patliputra Builders - Telecalling Executive -  ","2018-07-26 10:57:18","FALSE","0","0","0","Employment","Bihar","India",FALSE
"69","@jhaanit17 @LambaAlka @ashu3page Abe Ch..... Ab v Bihar, Jharkhand, Delhi karne me laga h. jo Mari hai wo bachi hi.  ","2018-07-26 10:12:21","FALSE","0","0","0","Employment","Bihar","India",FALSE
"70","@AjayKumar_in @AMISHDEVGAN @INCIndia Koi Galt BAAT Nahi Bola hai bilkul Sahi Bola Bihar ma 30hindu bachi sa balatka  ","2018-07-26 09:21:51","FALSE","0","0","0","Employment","Bihar","India",FALSE
"71","Union minister and Rashtriya Lok Samata Party (RLSP) leader Upendra Kushwaha on Wednesday advised Bihar chief minis  ","2018-07-26 08:57:23","FALSE","0","0","0","Employment","Bihar","India",FALSE
"72","@IndiaPostOffice dumra post office pin code 843301 bihar staff is not working as per govt job manuals. The staff at  ","2018-07-26 08:32:47","FALSE","0","0","0","Employment","Bihar","India",FALSE
"73","Walk in Jobs - Nutan Construction - Multiple Positions - 29 July at Patna -  ","2018-07-26 08:02:09","FALSE","0","0","0","Employment","Bihar","India",FALSE
"74","RT @FollowCII: How CII-MCC training helped him in getting a job at a Multinational  Company shares this jobseeker from Bihar. CII4Skills","2018-07-26 08:01:13","TRUE","2","0","1","Employment","Bihar","India",TRUE
"75","Patna Jobs - M.S. Memorial Academy - Computer Operator -  ","2018-07-26 07:27:18","FALSE","0","0","0","Employment","Bihar","India",FALSE
"76","Patna Jobs - Bharti Institute - Female Counsellor -  ","2018-07-26 07:27:16","FALSE","0","0","0","Employment","Bihar","India",FALSE
"77","Is there anyone, who can give job (salary based) non marketing?  Inbox Pls. 
Place-Patna(bihar)","2018-07-26 07:24:25","FALSE","0","0","0","Employment","Bihar","India",FALSE
"78","@Bihar_Jobs_ I am searching job in medical representative my contacts number 9022414953","2018-07-26 06:18:49","FALSE","0","0","0","Employment","Bihar","India",FALSE
"79","How CII-MCC training helped him in getting a job at a Multinational  Company shares this jobseeker from Bihar.  ","2018-07-26 06:14:56","FALSE","0","0","1","Employment","Bihar","India",FALSE
"80","How CII-MCC training helped him in getting a job at a Multinational  Company shares this jobseeker from Bihar.  ","2018-07-26 05:58:48","FALSE","2","12","1","Employment","Bihar","India",TRUE
"81","RT @prakashSriv:            -          ","2018-07-26 04:34:17","TRUE","11","0","0","Employment","Bihar","India",TRUE
"82","RT @prakashSriv:            -          ","2018-07-26 04:21:28","TRUE","11","0","0","Employment","Bihar","India",TRUE
"83","RT @prakashSriv:            -          ","2018-07-26 04:18:09","TRUE","11","0","0","Employment","Bihar","India",TRUE
"84","RT @prakashSriv:            -          ","2018-07-26 04:15:06","TRUE","11","0","0","Employment","Bihar","India",TRUE
"85","@SKSharm50408153 @ndtv Sir, Under what circumstances...why industrialization still not in Bihar , when it will happ  ","2018-07-26 03:11:15","FALSE","0","1","0","Employment","Bihar","India",FALSE
"86","@aimim_bihar Good job do it","2018-07-25 16:19:56","FALSE","0","0","1","Employment","Bihar","India",FALSE
"87","         ,              ","2018-07-25 15:56:25","FALSE","0","0","0","Employment","Bihar","India",FALSE
"88","        :    
 ","2018-07-25 14:07:32","FALSE","0","7","0","Employment","Bihar","India",FALSE
"89","@narendramodi 
Respected sir,

Myself Pankaj Shrivastva from Bihar, 
NCLT has rejected the resolution plan of Jyoti  ","2018-07-25 13:59:28","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"90","RT @prakashSriv:            -          ","2018-07-25 12:27:22","TRUE","11","0","0","Employment","Bihar","India",TRUE
"91","RT @prakashSriv:            -          ","2018-07-25 11:59:13","TRUE","11","0","0","Employment","Bihar","India",TRUE
"92","RT @manishSharmapcs: @raghav1674 @RajPari65912439 @yadavakhilesh Gramin Chaukidar bhi Angrejo ke jamane se Job kar rAhe hai , But unhe aaj","2018-07-25 11:46:29","TRUE","1","0","0","Employment","Bihar","India",FALSE
"93","@raghav1674 @RajPari65912439 @yadavakhilesh Gramin Chaukidar bhi Angrejo ke jamane se Job kar rAhe hai , But unhe a  ","2018-07-25 11:45:25","FALSE","1","1","0","Employment","Bihar","India",FALSE
"94","@burnolwalli Mujhe to train me bhi reservation nahi milta yaar.
Hamko chahiye chatth puja me Bihar Jaane ka reserva  ","2018-07-25 11:39:19","FALSE","0","0","0","Employment","Bihar","India",FALSE
"95","Walk in Jobs - Balaji Motors - Multiple Positions - 26 July to 14 August at Sitamarhi -  ","2018-07-25 11:32:26","FALSE","0","0","0","Employment","Bihar","India",FALSE
"96","Walk in Jobs - Balaji Motors - Multiple Positions - 26 July to 8 August at Sitamarhi -  ","2018-07-25 11:27:08","FALSE","0","0","0","Employment","Bihar","India",FALSE
"97","Job consultancy,consultant|placement agency in patna  ","2018-07-25 11:22:24","FALSE","0","1","0","Employment","Bihar","India",FALSE
"98","Job consultancy-consultant|placement agency in patna bihar-  ","2018-07-25 11:19:52","FALSE","0","1","0","Employment","Bihar","India",FALSE
"99","Job consultancy-consultant|placement agency in patna  ","2018-07-25 11:15:19","FALSE","0","1","0","Employment","Bihar","India",FALSE
"100","Patna Jobs - OYO Rooms - Multiple Positions -  ","2018-07-25 10:57:09","FALSE","0","0","0","Employment","Bihar","India",FALSE
"101","Job consultancy-consultant|placement agency in patna bihar-

Jobsprovider is one of the best jobs consultancy in pa  ","2018-07-25 10:46:26","FALSE","0","1","1","Employment","Bihar","India",FALSE
"102","Job consultancy- consultant |placement agency in patna bihar -  ","2018-07-25 10:30:41","FALSE","0","1","0","Employment","Bihar","India",FALSE
"103","Job consultan placement agency in patna consultant bihar  ","2018-07-25 10:00:00","FALSE","0","1","0","Employment","Bihar","India",FALSE
"104","Job consultancy-consultant|placement agency in patna bihar  ","2018-07-25 09:55:55","FALSE","0","1","0","Employment","Bihar","India",FALSE
"105","Job consultancy-consultant|placement agency in patna bihar-...  ","2018-07-25 09:43:38","FALSE","0","1","0","Employment","Bihar","India",FALSE
"106","Job consultancy-consultant|placement agency in patna bihar- jobsprovider  ","2018-07-25 09:33:49","FALSE","0","1","0","Employment","Bihar","India",FALSE
"107","Job consultancy | placement agency in patna - consultant bihar-jobsprovider  ","2018-07-25 09:32:05","FALSE","0","1","0","Employment","Bihar","India",FALSE
"108","Job consultancy-consultant|placement agency in patna bihar-  ","2018-07-25 09:15:06","FALSE","0","1","0","Employment","Bihar","India",TRUE
"109","RT @News18Bihar:            
 ","2018-07-25 09:08:26","TRUE","1","0","0","Employment","Bihar","India",FALSE
"110","Gaya Jobs - S.R. Bio-Clean - Sales Executive -  ","2018-07-25 08:42:12","FALSE","0","0","0","Employment","Bihar","India",FALSE
"111","'           45%   ' bihar  ","2018-07-25 08:36:06","FALSE","0","0","0","Employment","Bihar","India",FALSE
"112","Walk in Jobs - Fluentgrid Limited - Meter Reader - 26 July at Muzaffarpur -  ","2018-07-25 08:27:23","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"113","           
 ","2018-07-25 08:23:04","FALSE","1","5","0","Employment","Bihar","India",FALSE
"114","RT @prakashSriv:            -          ","2018-07-25 08:21:28","TRUE","11","0","0","Employment","Bihar","India",TRUE
"115","RT @prakashSriv:            -          ","2018-07-25 08:12:33","TRUE","11","0","0","Employment","Bihar","India",TRUE
"116","Bihar Jobs - Star Union Dai-ichi Life Insurance - Sales Executive -  ","2018-07-25 07:27:18","FALSE","0","1","0","Employment","Bihar","India",FALSE
"117","Patna Jobs - Sanjay Jha Associates - CA Articles, Graphic Designer -  ","2018-07-25 07:12:14","FALSE","0","0","0","Employment","Bihar","India",FALSE
"118","Patna Jobs - Bajaj Sign Equipments - Multiple Positions -  ","2018-07-25 07:03:00","FALSE","0","0","0","Employment","Bihar","India",FALSE
"119","RT @prakashSriv:            -          ","2018-07-25 06:51:43","TRUE","11","0","0","Employment","Bihar","India",TRUE
"120","RT @prakashSriv:            -          ","2018-07-25 06:40:40","TRUE","11","0","0","Employment","Bihar","India",TRUE
"121","@LGIndia  plese sir mujhe job dijiye mere paas bahut sare degrees hai lekin mujhe job nahi mil raha
State-bihar
Dis  ","2018-07-25 06:38:38","FALSE","0","0","0","Employment","Bihar","India",FALSE
"122","           -           ","2018-07-25 06:36:34","FALSE","11","6","0","Employment","Bihar","India",FALSE
"123","Auto driver:Aaj bandh kyun hain? 
Me: Arakshan hai?
AD: kis liye?
Me: Marathi Aadmi ko job ke liye
AD: theek hi toh  ","2018-07-25 05:48:49","FALSE","0","0","0","Employment","Bihar","India",FALSE
"124","@LSBA_Bihar @swachhbharat @brlps_jeevika @IPRD_Bihar @paramiyer_ Good job","2018-07-25 05:33:48","FALSE","0","0","1","Employment","Bihar","India",FALSE
"125","@LSBA_Bihar @swachhbharat @brlps_jeevika @IPRD_Bihar @paramiyer_ Great job SwachhBharat","2018-07-25 05:19:03","FALSE","0","0","1","Employment","Bihar","India",FALSE
"126","@San4u8793 @NotSoUncomical true this up bihari dont kw anything abt their state nd they are mocking us..mumbai maha  ","2018-07-25 04:53:30","FALSE","0","7","-1","Employment","Bihar","India",FALSE
"127","@yadavtejashwi Youth is with you sir, you also think for youth n conditions of BIHAR
why we have to shift to other  ","2018-07-25 04:37:40","FALSE","0","0","0","Employment","Bihar","India",FALSE
"128","@KashishBihar @yadavtejashwi chara choor job cm tha tab to bihar din doguna rat chaoguna kar rahatha","2018-07-25 04:24:53","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"129","p@SushilModi @BJP4India @mygovindia @AmitShah @sambitswaraj @chitraaum @ndtv @Bihar_BJP @rashtrapatibhvn  ","2018-07-25 03:05:27","FALSE","0","0","0","Employment","Bihar","India",FALSE
"130","RT @alok_bhatt: 7. Manoranjan Bharti- i can bet must he close to some Bihar- UP politician- this early beat reporter of Cong wont get a job","2018-07-25 02:06:24","TRUE","431","0","0","Employment","Bihar","India",FALSE
"131","Bihar State Power (Holding) Company Ltd. (BSPHCL) Recruitment 2018
Apply Here==&gt;  ","2018-07-24 18:10:06","FALSE","0","0","0","Employment","Bihar","India",FALSE
"132","@shaktisinhgohil Sir u r doing tremendous job for Bihar congress.... but you need to get rid of Sadanand Singh bc  ","2018-07-24 18:03:36","FALSE","0","0","0","Employment","Bihar","India",FALSE
"133","Bihar State Power (Holding) Company Ltd. (BSPHCL) Recruitment 2018
Apply Here==&gt;  ","2018-07-24 15:55:07","FALSE","0","0","0","Employment","Bihar","India",TRUE
"134","@LSBA_Bihar @swachhbharat @brlps_jeevika @IPRD_Bihar @paramiyer_ Good job","2018-07-24 15:11:17","FALSE","0","0","1","Employment","Bihar","India",TRUE
"135","@bihar_police Good job","2018-07-24 14:34:21","FALSE","0","0","1","Employment","Bihar","India",FALSE
"136","RT @alok_bhatt: 7. Manoranjan Bharti- i can bet must he close to some Bihar- UP politician- this early beat reporter of Cong wont get a job","2018-07-24 13:04:20","TRUE","431","0","0","Employment","Bihar","India",TRUE
"137","Aurangabad Jobs - SS Swami School - Multiple Positions -  ","2018-07-24 12:59:32","FALSE","0","0","0","Employment","Bihar","India",FALSE
"138","@PMOIndia @NitishKumar 
@AmitShahOffice Respected sir I have taken study loan in 2013 frm Allahabad Bank Madhubani  ","2018-07-24 12:35:04","FALSE","0","0","0","Employment","Bihar","India",FALSE
"139","Job consultancy-consultant|placement agency in patna bihar-  ","2018-07-24 12:19:10","FALSE","0","1","0","Employment","Bihar","India",TRUE
"140","Job consultancy-consultant|placement agency in patna bihar-  ","2018-07-24 12:12:51","FALSE","0","1","0","Employment","Bihar","India",TRUE
"141","Job consultancy,consultant|placement agency in patna  ","2018-07-24 12:08:26","FALSE","0","1","0","Employment","Bihar","India",TRUE
"142","@bihar_police Good job Bihar police","2018-07-24 11:33:23","FALSE","0","0","1","Employment","Bihar","India",FALSE
"143","TISS done wonderful job in Muzaffarpur, Bihar.. Girls shelter home. Culprits should be published hard.","2018-07-24 09:53:59","FALSE","0","1","0","Employment","Bihar","India",FALSE
"144","@News18India Kewal ye hi nahi ...bihar ke mostly gov school ke teacher ka yehi haal hai ....
Hamlogo ko chahte huye  ","2018-07-24 09:38:11","FALSE","0","0","0","Employment","Bihar","India",FALSE
"145","@SwetaSinghAT hello aweetaji kya AAP Hume koi job deskti hai ya dila Sakti hai Mai Bihar ki rahne wali hu 8class ta  ","2018-07-24 09:35:20","FALSE","0","0","0","Employment","Bihar","India",FALSE
"146","Job consultancy-consultant|placement agency in patna bihar-  ","2018-07-24 08:47:35","FALSE","0","1","0","Employment","Bihar","India",TRUE
"147","Job consultancy- | placement agency in patna consultant bihar-jobsprovider  ","2018-07-24 08:43:00","FALSE","0","1","0","Employment","Bihar","India",FALSE
"148","Job consultancy-consultant|placement agency in patna bihar- jobsprovider  ","2018-07-24 08:37:49","FALSE","0","1","0","Employment","Bihar","India",TRUE
"149","Job consultancy-consultant|placement agency in patna bihar-...  ","2018-07-24 08:33:05","FALSE","0","1","0","Employment","Bihar","India",TRUE
"150","Job consultancy placement agency in patna bihar consultant  ","2018-07-24 08:20:12","FALSE","0","1","0","Employment","Bihar","India",FALSE
"151","Patna Jobs - St. Stephen's School - Computer Operator, Accountant -  ","2018-07-24 08:14:22","FALSE","0","0","0","Employment","Bihar","India",FALSE
"152","Patna Jobs - SSIPL Retail - Area Sales Manager - Distribution -  ","2018-07-24 07:54:14","FALSE","0","0","0","Employment","Bihar","India",FALSE
"153","Job consultancy-consultant|placement agency in patna bihar  ","2018-07-24 07:52:41","FALSE","0","1","0","Employment","Bihar","India",TRUE
"154","Job consultancy- consultant| placement agency in patna bihar-  ","2018-07-24 07:07:03","FALSE","0","1","0","Employment","Bihar","India",FALSE
"155","Patna Jobs - Kten International - Area Sales Manager -  ","2018-07-24 07:04:54","FALSE","0","0","0","Employment","Bihar","India",FALSE
"156","Patna Jobs - Sterimed Surgical - Regional/ Area Sales Manager -  ","2018-07-24 06:55:06","FALSE","0","0","0","Employment","Bihar","India",FALSE
"157","Patna Jobs - Imperia Structures - Sales Executive -  ","2018-07-24 06:29:32","FALSE","0","0","0","Employment","Bihar","India",FALSE
"158","RT @alok_bhatt: 7. Manoranjan Bharti- i can bet must he close to some Bihar- UP politician- this early beat reporter of Cong wont get a job","2018-07-24 05:57:11","TRUE","431","0","0","Employment","Bihar","India",TRUE
"159","@RahulKu61237179 Sach kaha Rahul ji...Waise Kya aapko oata hai ki Bihar ke  Yadav kitne padhe likh ker ache job me  ","2018-07-24 05:51:04","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"160","RT @alok_bhatt: 7. Manoranjan Bharti- i can bet must he close to some Bihar- UP politician- this early beat reporter of Cong wont get a job","2018-07-24 04:05:38","TRUE","431","0","0","Employment","Bihar","India",TRUE
"161","RT @AlstomIndia: ATTENTION: Aspirants for a job at Alstom India's Madhepura locomotive factory must AVOID referring to the website ","2018-07-24 03:58:51","TRUE","5","0","0","Employment","Bihar","India",FALSE
"162","RT @visionindiaspl: Niharika from Muzaffarpur, Bihar skilled under SkillIndia mission got a job at her door step in our Rural BPO under a","2018-07-24 03:46:00","TRUE","61","0","1","Employment","Bihar","India",FALSE
"163","RT @alok_bhatt: 7. Manoranjan Bharti- i can bet must he close to some Bihar- UP politician- this early beat reporter of Cong wont get a job","2018-07-24 02:54:20","TRUE","431","0","0","Employment","Bihar","India",TRUE
