"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-29 08:23:53","TRUE","27","0","-1","Culture","West Bengal","India",FALSE
"2","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-29 06:57:59","TRUE","19","0","-1","Culture","West Bengal","India",FALSE
"3","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 15:35:49","TRUE","27","0","-1","Culture","West Bengal","India",TRUE
"4","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 09:51:36","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"5","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 06:20:01","TRUE","27","0","-1","Culture","West Bengal","India",TRUE
"6","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 04:10:04","TRUE","27","0","3","Culture","West Bengal","India",TRUE
"7","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-28 04:08:06","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"8","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 04:07:30","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"9","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-28 00:55:46","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"10","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 18:42:53","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"11","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 18:42:44","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"12","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 17:49:57","TRUE","19","0","-2","Culture","West Bengal","India",TRUE
"13","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 16:50:25","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"14","CM MAMATA BANERJEE GAVE MESSAGE OF ENDURANCE AT VANMAHOTSAV FESTIVAL | WEST BENGAL:  ","2018-07-27 15:47:53","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"15","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 15:37:40","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"16","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 15:30:06","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"17","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:55:39","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"18","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:46:34","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"19","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:45:39","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"20","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:44:31","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"21","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:36:53","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"22","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:36:49","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"23","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:32:56","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"24","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:12:47","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"25","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:09:03","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"26","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:05:08","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"27","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:04:29","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"28","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:55:15","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"29","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 12:32:51","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"30","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:21:32","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"31","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:20:10","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"32","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:18:53","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"33","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:18:24","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"34","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 12:17:51","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"35","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:17:17","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"36","West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

Nati  ","2018-07-27 12:16:49","FALSE","19","70","1","Culture","West Bengal","India",FALSE
"37","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:57:22","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"38","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:38:28","TRUE","27","0","-2","Culture","West Bengal","India",TRUE
"39","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:36:11","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"40","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:29:44","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"41","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:29:09","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"42","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:22:05","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"43","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:21:46","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"44","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:20:31","TRUE","27","0","-1","Culture","West Bengal","India",TRUE
"45","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:19:54","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"46","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:18:27","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"47","West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Children  ","2018-07-27 11:15:19","FALSE","27","72","0","Culture","West Bengal","India",FALSE
"48","** Current Affairs Questions of 27th July 2018 **

(1) In which state was the 18th International Childrens Film Fe  ","2018-07-27 01:48:27","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"49","Aab Film Festival
Club Ecovista
Kolkata, West Bengal 700156 India
 ","2018-07-23 14:58:26","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"50","@ShekharGupta @sandipr Are you even awareof the present situation prevailing in West Bengal? Durga puja is not prim  ","2018-07-20 15:20:43","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"51","The most important Snake festival of West-Bengal is Jhapan Mela. It is celebrated in the month of Shravan Maas (Jul  ","2018-07-20 12:24:07","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"52","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-29 08:23:53","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"53","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-29 06:57:59","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"54","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 15:35:49","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"55","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 09:51:36","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"56","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 06:20:01","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"57","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 04:10:04","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"58","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-28 04:08:06","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"59","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 04:07:30","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"60","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-28 00:55:46","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"61","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 18:42:53","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"62","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 18:42:44","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"63","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 17:49:57","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"64","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 16:50:25","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"65","CM MAMATA BANERJEE GAVE MESSAGE OF ENDURANCE AT VANMAHOTSAV FESTIVAL | WEST BENGAL:  ","2018-07-27 15:47:53","FALSE","0","0","0","Culture","West Bengal","India",TRUE
"66","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 15:37:40","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"67","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 15:30:06","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"68","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:55:39","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"69","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:46:34","TRUE","27","0","-2","Culture","West Bengal","India",TRUE
"70","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:45:39","TRUE","19","0","2","Culture","West Bengal","India",TRUE
"71","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:44:31","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"72","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:36:53","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"73","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:36:49","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"74","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:32:56","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"75","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:12:47","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"76","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:09:03","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"77","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:05:08","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"78","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:04:29","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"79","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:55:15","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"80","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 12:32:51","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"81","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:21:32","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"82","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:20:10","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"83","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:18:53","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"84","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:18:24","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"85","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 12:17:51","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"86","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:17:17","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"87","West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

Nati  ","2018-07-27 12:16:49","FALSE","19","70","1","Culture","West Bengal","India",TRUE
"88","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:57:22","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"89","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:38:28","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"90","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:36:11","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"91","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:29:44","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"92","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:29:09","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"93","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:22:05","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"94","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:21:46","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"95","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:20:31","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"96","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:19:54","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"97","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 11:18:27","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"98","West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Children  ","2018-07-27 11:15:19","FALSE","27","72","0","Culture","West Bengal","India",TRUE
"99","** Current Affairs Questions of 27th July 2018 **

(1) In which state was the 18th International Childrens Film Fe  ","2018-07-27 01:48:27","FALSE","0","0","0","Culture","West Bengal","India",TRUE
"100","Aab Film Festival
Club Ecovista
Kolkata, West Bengal 700156 India
 ","2018-07-23 14:58:26","FALSE","0","0","0","Culture","West Bengal","India",TRUE
"101","@ShekharGupta @sandipr Are you even awareof the present situation prevailing in West Bengal? Durga puja is not prim  ","2018-07-20 15:20:43","FALSE","0","0","0","Culture","West Bengal","India",TRUE
"102","The most important Snake festival of West-Bengal is Jhapan Mela. It is celebrated in the month of Shravan Maas (Jul  ","2018-07-20 12:24:07","FALSE","0","0","1","Culture","West Bengal","India",TRUE
"103","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-29 08:23:53","TRUE","27","0","-2","Culture","West Bengal","India",TRUE
"104","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-29 06:57:59","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"105","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 15:35:49","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"106","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 09:51:36","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"107","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 06:20:01","TRUE","27","0","-1","Culture","West Bengal","India",TRUE
"108","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 04:10:04","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"109","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-28 04:08:06","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"110","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-28 04:07:30","TRUE","27","0","-1","Culture","West Bengal","India",TRUE
"111","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-28 00:55:46","TRUE","19","0","-1","Culture","West Bengal","India",TRUE
"112","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 18:42:53","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"113","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 18:42:44","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"114","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 17:49:57","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"115","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 16:50:25","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"116","CM MAMATA BANERJEE GAVE MESSAGE OF ENDURANCE AT VANMAHOTSAV FESTIVAL | WEST BENGAL:  ","2018-07-27 15:47:53","FALSE","0","0","0","Culture","West Bengal","India",TRUE
"117","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 15:37:40","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"118","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 15:30:06","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"119","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:55:39","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"120","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:46:34","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"121","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:45:39","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"122","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:44:31","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"123","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:36:53","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"124","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:36:49","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"125","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:32:56","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"126","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:12:47","TRUE","19","0","-2","Culture","West Bengal","India",TRUE
"127","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:09:03","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"128","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 13:05:08","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"129","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 13:04:29","TRUE","27","0","0","Culture","West Bengal","India",TRUE
"130","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:55:15","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"131","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 12:32:51","TRUE","27","0","-1","Culture","West Bengal","India",TRUE
"132","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:21:32","TRUE","19","0","-2","Culture","West Bengal","India",TRUE
"133","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:20:10","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"134","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:18:53","TRUE","19","0","0","Culture","West Bengal","India",TRUE
"135","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:18:24","TRUE","19","0","1","Culture","West Bengal","India",TRUE
"136","RT @BORN4WIN: West Bengal passed a bill to change states name from WestBengal to which name?
- Bangla

The 18th Int'l Childrens Film Fe","2018-07-27 12:17:51","TRUE","27","0","1","Culture","West Bengal","India",TRUE
"137","RT @GuideforAll: West Bengal Assembly Passes Resolution to rename the State name from WestBengal to which name ?
- Bangla.

National Tr","2018-07-27 12:17:17","TRUE","19","0","0","Culture","West Bengal","India",TRUE
