"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","tamil nadu xxx free sex video download free videos sex with teacher old women teen pic marathi school   ","2018-07-29 13:31:14","FALSE","0","0","-1","Education","Tamil Nadu","India",FALSE
"2","Science - Biology Teacher in Coimbatore, Tamil Nadu, India: teacher, tutoring, ed, biology, sec  ","2018-07-29 07:15:31","FALSE","0","0","-1","Education","Tamil Nadu","India",FALSE
"3","Big boobs fucked at school by teacher 18
  ","2018-07-28 05:07:52","FALSE","0","1","-1","Education","Tamil Nadu","India",FALSE
"4","Stunning Blonde Teen - FREE REGISTER wwwcambabesfreetk
  ","2018-07-27 13:22:35","FALSE","0","0","0","Education","Tamil Nadu","India",FALSE
"5","Internet Marketing  ","2018-07-27 08:45:09","FALSE","0","0","-1","Education","Tamil Nadu","India",FALSE
"6","RT @teachaclass: Through personalisedlearning every child learns at their own pace! Here children in Tamil Nadu learn English through our","2018-07-27 05:19:34","TRUE","2","0","3","Education","Tamil Nadu","India",FALSE
"7","RT @teachaclass: Through personalisedlearning every child learns at their own pace! Here children in Tamil Nadu learn English through our","2018-07-27 05:08:43","TRUE","2","0","1","Education","Tamil Nadu","India",TRUE
"8","Tamil Nadu Man Delivers Baby, Aided By Videos On Social Media, Wife Dies

Karthikeyan And Kritiga, Who Worked As A  ","2018-07-27 03:00:07","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"9"," ","2018-07-26 15:11:58","FALSE","0","0","0","Education","Tamil Nadu","India",FALSE
"10","Through personalisedlearning every child learns at their own pace! Here children in Tamil Nadu learn English thro  ","2018-07-26 11:54:05","FALSE","2","2","1","Education","Tamil Nadu","India",FALSE
"11","TN TRB Special Teacher Admit Card 2018 Download Tamil Nadu TRB Special Teacher Hall Ticket 2018  ","2018-07-26 07:30:11","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"12","RT @News18TamilNadu:       : 7  !

 ","2018-07-26 06:42:08","TRUE","22","0","-2","Education","Tamil Nadu","India",FALSE
"13","RT @sksurana_jantv: What can be a bigger reward than this for a teacher !
student
teachergoals
Teachers transfer put on hold after studen","2018-07-26 03:33:47","TRUE","27","0","1","Education","Tamil Nadu","India",FALSE
"14","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 16:52:54","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"15","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 16:00:07","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"16","Download Tamil Nadu Teacher Recruitment Board Asst Professor Exam Hall Ticket 2018 @  ","2018-07-25 09:25:41","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"17","Download Tamil Nadu Teacher Recruitment Board Asst Professor Exam Hall Ticket 2018 @ ","2018-07-25 09:25:33","FALSE","0","0","0","Education","Tamil Nadu","India",FALSE
"18","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 09:05:51","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"19","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 08:50:09","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"20","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 07:16:52","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"21","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 05:35:36","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"22","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 05:26:50","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"23","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 05:17:03","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"24","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 05:11:16","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"25","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:59:41","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"26","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:59:12","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"27","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:53:34","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"28","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:52:10","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"29","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:48:50","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"30","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:43:25","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"31","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:42:30","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"32","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:40:20","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"33","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:39:50","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"34","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:38:45","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"35","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:37:59","TRUE","22","0","0","Education","Tamil Nadu","India",TRUE
"36","RT @News18TamilNadu:       : 7  !

 ","2018-07-25 04:37:43","TRUE","22","0","1","Education","Tamil Nadu","India",TRUE
"37","      : 7  !

 ","2018-07-25 04:36:42","FALSE","22","68","0","Education","Tamil Nadu","India",FALSE
