"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @employee_dtc: @SanjayAzadSln Delhi mein DTC, Guest Teacher, MCD, metro wale aur sab contractual employees kitne paresaan hai woh nahi d","2018-07-29 16:23:44","TRUE","4","0","-1","Education","Delhi","India",FALSE
"2","RT @employee_dtc: @SanjayAzadSln Delhi mein DTC, Guest Teacher, MCD, metro wale aur sab contractual employees kitne paresaan hai woh nahi d","2018-07-29 16:12:06","TRUE","4","0","-1","Education","Delhi","India",TRUE
"3","@DeepakS60257561 @PrakashJavdekar @narendramodi @RMSAIndia @HRDMinistry @drdineshbjp @PKumar59 @NCTE_Delhi  ","2018-07-29 15:24:56","FALSE","0","0","-1","Education","Delhi","India",FALSE
"4","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 15:14:09","TRUE","139","0","0","Education","Delhi","India",FALSE
"5","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 15:12:09","TRUE","139","0","-1","Education","Delhi","India",TRUE
"6","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 15:03:53","TRUE","139","0","3","Education","Delhi","India",TRUE
"7","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 14:34:33","TRUE","85","0","1","Education","Delhi","India",FALSE
"8","Support Ekal one teacher one School in remote village &amp; tribal areas..contact KAmal b jain ,Vice president Bharat L  ","2018-07-29 14:22:29","FALSE","0","0","1","Education","Delhi","India",FALSE
"9"," watch 

 ","2018-07-29 12:56:16","FALSE","0","1","0","Education","Delhi","India",FALSE
"10","RT @shaninandini: When &amp; who will punish/ suspend following  corrupt staff of E IV branch ,Education,old secretariat,Delhi-54 
Why suspensi","2018-07-29 12:05:59","TRUE","1","0","1","Education","Delhi","India",FALSE
"11","RT @shaninandini: @lg_delhi @cm_delhi @chiefsecretary_delhi 
When &amp; who will punish/suspend following Directors of Delhi Education Departme","2018-07-29 12:05:58","TRUE","1","0","1","Education","Delhi","India",FALSE
"12","RT @Chandrapida1: No that is not starting salary. Unless you are employed in Delhi Kendriya Vidyalay ,you will start with around 35 to 37 i","2018-07-29 10:17:41","TRUE","2","0","-2","Education","Delhi","India",FALSE
"13","RT @Chandrapida1: No that is not starting salary. Unless you are employed in Delhi Kendriya Vidyalay ,you will start with around 35 to 37 i","2018-07-29 09:49:58","TRUE","2","0","1","Education","Delhi","India",TRUE
"14","No that is not starting salary. Unless you are employed in Delhi Kendriya Vidyalay ,you will start with around 35 t  ","2018-07-29 09:48:31","FALSE","2","10","0","Education","Delhi","India",FALSE
"15","image  linda kozlowski hot  delhi teens nude homemade images  hardlongsex  free situation teacher porn    ","2018-07-29 09:28:56","FALSE","0","0","1","Education","Delhi","India",FALSE
"16","RT @employee_dtc: @SanjayAzadSln Delhi mein DTC, Guest Teacher, MCD, metro wale aur sab contractual employees kitne paresaan hai woh nahi d","2018-07-29 09:16:33","TRUE","4","0","1","Education","Delhi","India",TRUE
"17","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 08:41:47","TRUE","85","0","0","Education","Delhi","India",TRUE
"18","DSSSB Recruitment 2018 DSSSB aka Delhi Subordinate Services Selection Board invites application for the post of 601  ","2018-07-29 08:13:41","FALSE","0","0","1","Education","Delhi","India",FALSE
"19","Female teacher :
Children why is Delhi known as Mahanagar (male form) whereas Mumbai is known as Mahanagari (femal  ","2018-07-29 07:54:34","FALSE","0","2","1","Education","Delhi","India",FALSE
"20","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 07:54:03","TRUE","139","0","0","Education","Delhi","India",TRUE
"21","RT @employee_dtc: @SanjayAzadSln Delhi mein DTC, Guest Teacher, MCD, metro wale aur sab contractual employees kitne paresaan hai woh nahi d","2018-07-29 07:04:52","TRUE","4","0","0","Education","Delhi","India",TRUE
"22","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 06:25:10","TRUE","85","0","1","Education","Delhi","India",TRUE
"23","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 06:02:59","TRUE","85","0","0","Education","Delhi","India",TRUE
"24","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 06:00:51","TRUE","85","0","1","Education","Delhi","India",TRUE
"25","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 05:55:03","TRUE","85","0","0","Education","Delhi","India",TRUE
"26","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 05:39:38","TRUE","85","0","0","Education","Delhi","India",TRUE
"27","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 05:36:35","TRUE","139","0","1","Education","Delhi","India",TRUE
"28","image  linda kozlowski hot  delhi teens nude homemade images  hardlongsex  free situation teacher porn    ","2018-07-29 05:13:53","FALSE","0","0","1","Education","Delhi","India",TRUE
"29","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 05:02:30","TRUE","32","0","1","Education","Delhi","India",TRUE
"30","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 03:48:55","TRUE","85","0","1","Education","Delhi","India",TRUE
"31","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 03:25:30","TRUE","139","0","1","Education","Delhi","India",TRUE
"32","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-29 03:01:10","TRUE","85","0","0","Education","Delhi","India",TRUE
"33","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 02:02:45","TRUE","139","0","0","Education","Delhi","India",TRUE
"34","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 00:52:49","TRUE","139","0","0","Education","Delhi","India",TRUE
"35","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-29 00:28:23","TRUE","139","0","0","Education","Delhi","India",TRUE
"36","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 20:51:00","TRUE","85","0","1","Education","Delhi","India",TRUE
"37","hentai sex xxx anal first delhi hot teacher bent over real lebanon s school girls fuck nude galore jungle   ","2018-07-28 19:51:56","FALSE","0","0","0","Education","Delhi","India",FALSE
"38","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 19:14:13","TRUE","139","0","-2","Education","Delhi","India",TRUE
"39","When &amp; who will punish/ suspend following  corrupt staff of E IV branch ,Education,old secretariat,Delhi-54 
Why su  ","2018-07-28 19:01:11","FALSE","1","2","0","Education","Delhi","India",FALSE
"40","@lg_delhi @cm_delhi @chiefsecretary_delhi 
When &amp; who will punish/suspend following Directors of Delhi Education De  ","2018-07-28 18:59:05","FALSE","1","1","0","Education","Delhi","India",FALSE
"41","hentai sex xxx anal first delhi hot teacher bent over real lebanon s school girls fuck nude galore jungle   ","2018-07-28 18:48:39","FALSE","0","0","0","Education","Delhi","India",TRUE
"42","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 18:24:33","TRUE","139","0","0","Education","Delhi","India",TRUE
"43","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 17:45:26","TRUE","85","0","0","Education","Delhi","India",TRUE
"44","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 17:38:36","TRUE","32","0","-1","Education","Delhi","India",TRUE
"45","@SanjayAzadSln Delhi mein DTC, Guest Teacher, MCD, metro wale aur sab contractual employees kitne paresaan hai woh  ","2018-07-28 17:16:57","FALSE","4","5","0","Education","Delhi","India",FALSE
"46","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 17:13:50","TRUE","85","0","0","Education","Delhi","India",TRUE
"47","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 17:03:24","TRUE","139","0","0","Education","Delhi","India",TRUE
"48","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 17:03:18","TRUE","85","0","0","Education","Delhi","India",TRUE
"49","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 17:00:28","TRUE","32","0","0","Education","Delhi","India",TRUE
"50","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 16:23:41","TRUE","85","0","0","Education","Delhi","India",TRUE
"51","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 16:20:55","TRUE","139","0","0","Education","Delhi","India",TRUE
"52","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 16:19:44","TRUE","139","0","1","Education","Delhi","India",TRUE
"53","RT @shaninandini: Who &amp; and when will punish Director Amit Singla,he punished victim teacher and suspended her in December 2013instead of s","2018-07-28 16:14:14","TRUE","1","0","1","Education","Delhi","India",FALSE
"54","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 16:13:27","TRUE","85","0","1","Education","Delhi","India",TRUE
"55","RT @shaninandini: Guest teachers NEELAM,DIVYA,MONIKA,SONAM,&amp; FEW OTHERS who were teaching in SKV no2 punjabi bagh school delhi,they are are","2018-07-28 16:11:17","TRUE","1","0","0","Education","Delhi","India",FALSE
"56","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 15:58:35","TRUE","85","0","1","Education","Delhi","India",TRUE
"57","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 15:49:52","TRUE","85","0","0","Education","Delhi","India",TRUE
"58","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 15:02:18","TRUE","139","0","0","Education","Delhi","India",TRUE
"59","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 14:48:12","TRUE","139","0","0","Education","Delhi","India",TRUE
"60","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 14:42:20","TRUE","139","0","0","Education","Delhi","India",TRUE
"61","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 14:38:00","TRUE","85","0","0","Education","Delhi","India",TRUE
"62","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 14:37:29","TRUE","139","0","0","Education","Delhi","India",TRUE
"63","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 14:22:40","TRUE","85","0","0","Education","Delhi","India",TRUE
"64","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 14:10:20","TRUE","139","0","0","Education","Delhi","India",TRUE
"65","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 13:42:46","TRUE","85","0","0","Education","Delhi","India",TRUE
"66","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 13:41:53","TRUE","139","0","0","Education","Delhi","India",TRUE
"67","This man @msisodia Dy CM cum Education Minister of Delhi, bring a revolution, In government education system of Del  ","2018-07-28 13:25:19","FALSE","0","0","0","Education","Delhi","India",FALSE
"68","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 13:02:53","TRUE","85","0","0","Education","Delhi","India",TRUE
"69","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 12:45:07","TRUE","139","0","-2","Education","Delhi","India",TRUE
"70","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 12:39:01","TRUE","139","0","2","Education","Delhi","India",TRUE
"71","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 12:37:15","TRUE","139","0","0","Education","Delhi","India",TRUE
"72","@CNBCTV18News @msisodia @ShereenBhan @AamAadmiParty What kind of reforms in Delhi S  govt schools? There are at le  ","2018-07-28 12:27:23","FALSE","0","0","0","Education","Delhi","India",FALSE
"73","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 12:26:04","TRUE","85","0","1","Education","Delhi","India",TRUE
"74","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 12:21:46","TRUE","139","0","0","Education","Delhi","India",TRUE
"75","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 12:16:55","TRUE","85","0","1","Education","Delhi","India",TRUE
"76","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 12:13:46","TRUE","139","0","0","Education","Delhi","India",TRUE
"77","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 12:08:53","TRUE","85","0","0","Education","Delhi","India",TRUE
"78","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 12:04:19","TRUE","139","0","0","Education","Delhi","India",TRUE
"79","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 12:03:07","TRUE","139","0","0","Education","Delhi","India",TRUE
"80","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 11:54:06","TRUE","139","0","0","Education","Delhi","India",TRUE
"81","sex letters delhi girlfriend sex in car videos teacher teen soft porn videos porno playboy adult literacy   ","2018-07-28 11:53:58","FALSE","0","0","0","Education","Delhi","India",FALSE
"82","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 11:49:07","TRUE","139","0","0","Education","Delhi","India",TRUE
"83","RT @AOLMahuaDS: Delhi NCR...Hurry and book your place  !!
Not to be missed with an amazing teacher.
@SriSri @rajeshjagasia @ArtOfLivingNTC","2018-07-28 11:43:18","TRUE","1","0","0","Education","Delhi","India",FALSE
"84","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 11:34:27","TRUE","85","0","1","Education","Delhi","India",TRUE
"85","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 11:31:50","TRUE","85","0","0","Education","Delhi","India",TRUE
"86","RT @DaaruBaazMehta: WATCH

How is Delhi Govt planning to bring the Mega Infrastructural and Teacher Training Push in all 1000+ Govt Schools","2018-07-28 11:28:48","TRUE","85","0","0","Education","Delhi","India",TRUE
"87","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 10:48:45","TRUE","139","0","1","Education","Delhi","India",TRUE
"88","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 10:45:28","TRUE","139","0","0","Education","Delhi","India",TRUE
"89","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 10:45:01","TRUE","139","0","1","Education","Delhi","India",TRUE
"90","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 10:38:11","TRUE","139","0","1","Education","Delhi","India",TRUE
"91","image  linda kozlowski hot  delhi teens nude homemade images  hardlongsex  free situation teacher porn    ","2018-07-28 10:15:12","FALSE","0","0","0","Education","Delhi","India",TRUE
"92","RT @NishchhalGaur: Before AAP, 9 Crores were spent on Teacher Training &amp; now Delhi Govt under AAP spends 102 Crores on Teachers Training","2018-07-28 09:59:50","TRUE","139","0","1","Education","Delhi","India",TRUE
